No.,cpuname,Description:,Socket:,Clockspeed:,Turbo Speed:,Cores:,Threads:,Typical TDP:,Cache Size:,Memory Support:,Other names:,CPU First Seen on Charts:,CPUmark/$Price:,Overall Rank:,Last Price Change:,PassMark CPU Rating:,Single Thread Rating:,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread,single_thread,multi_thread,FLOPS,Class:,TDP Down:,TDP Up,Total Cores:,Primary Cores:,Secondary Cores:,Performance Cores:,Efficient Cores:
24,AMD A6-3500 APU,AMD A6-3500 APU with Radeon(tm) HD Graphics,FM1,2.1 GHz,2.4 GHz,3,3,65 W,"L1: 384 KB, L2: 3.0 MB,",,AMD A6-3500 APU with Radeon(tm) HD Graphics,Q3 2011,18.30,3079,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1371,951,"3,978 MOps/Sec","2,992 MOps/Sec",8 Million Primes/Sec,"3,659 Thousand Strings/Sec",345.1 MBytes/Sec,"29,713 KBytes/Sec",151 Frames/Sec,720 Million Matrices/Sec,951 MOps/Sec,951.0,720.0,2992.0,Desktop,,,,,,,
10,AMD A10-4600M APU,AMD A10-4600M APU with Radeon(tm) HD Graphics,FS1r2,2.3 GHz,3.2 GHz,4 (in 2 physical modules),,35 W,"L1: 320 KB, L2: 8.0 MB,",,AMD A10-4600M APU with Radeon(tm) HD Graphics,Q2 2012,32.62,2701,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1924,1068,"12,814 MOps/Sec","3,510 MOps/Sec",9 Million Primes/Sec,"4,013 Thousand Strings/Sec",566.4 MBytes/Sec,"30,522 KBytes/Sec",212 Frames/Sec,772 Million Matrices/Sec,"1,068 MOps/Sec",1068.0,772.0,3510.0,Laptop,,,,,,,
26,AMD A6-3620 APU,AMD A6-3620 APU with Radeon(tm) HD Graphics,FM1,2.2 GHz,2.5 GHz,4,4,65 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A6-3620 APU with Radeon(tm) HD Graphics,Q1 2012,81.98,2758,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1844,989,"5,413 MOps/Sec","4,068 MOps/Sec",9 Million Primes/Sec,"5,051 Thousand Strings/Sec",476.2 MBytes/Sec,"40,964 KBytes/Sec",177 Frames/Sec,969 Million Matrices/Sec,989 MOps/Sec,989.0,969.0,4068.0,Desktop,,,,,,,
1,Intel Core i7-2600 @ 3.40GHz,"Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz, Intel Core i7-2600 CPU @ 3.40GHz",LGA1155,3.4 GHz,3.8 GHz,4,8,95 W,"L1: 256 KB, L2: 1.0 MB, L3: 8 MB",,"Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz, Intel Core i7-2600 CPU @ 3.40GHz",Q4 2010,66.64,1553,From submitted results to PerformanceTest V10 as of 31st of October 2023.,5331,1739,"20,831 MOps/Sec","7,768 MOps/Sec",24 Million Primes/Sec,"13,162 Thousand Strings/Sec","1,595 MBytes/Sec","90,116 KBytes/Sec",375 Frames/Sec,"3,898 Million Matrices/Sec","1,739 MOps/Sec",1739.0,3898.0,7768.0,Desktop,,,,,,,
41,AMD A8-5500 APU,AMD A8-5500 APU with Radeon(tm) HD Graphics,FM2,3.2 GHz,3.7 GHz,4 (in 2 physical modules),,65 W,"L1: 320 KB, L2: 8.0 MB,",,AMD A8-5500 APU with Radeon(tm) HD Graphics,Q2 2012,43.89,2331,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2587,1323,"17,509 MOps/Sec","4,671 MOps/Sec",10 Million Primes/Sec,"5,452 Thousand Strings/Sec",775.9 MBytes/Sec,"43,505 KBytes/Sec",235 Frames/Sec,"1,067 Million Matrices/Sec","1,323 MOps/Sec",1323.0,1067.0,4671.0,Desktop,,,,,,,
8,Intel Core i7-3820 @ 3.60GHz,"Intel(R) Core(TM) i7-3820 CPU @ 3.60GHz, Intel Core i7-3820 CPU @ 3.60GHz",LGA2011,3.6 GHz,3.8 GHz,4,8,130 W,"L1: 512 KB, L2: 2.0 MB,",,"Intel(R) Core(TM) i7-3820 CPU @ 3.60GHz, Intel Core i7-3820 CPU @ 3.60GHz",Q1 2012,58.04,1463,From submitted results to PerformanceTest V10 as of 31st of October 2023.,5745,1740,"21,900 MOps/Sec","8,179 MOps/Sec",28 Million Primes/Sec,"13,995 Thousand Strings/Sec","1,710 MBytes/Sec","94,316 KBytes/Sec",522 Frames/Sec,"4,141 Million Matrices/Sec","1,740 MOps/Sec",1740.0,4141.0,8179.0,Desktop,,,,,,,
39,AMD A8-3870K APU,AMD A8-3870 APU with Radeon(tm) HD Graphics,FM1,3.0 GHz,,4,4,100 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A8-3870 APU with Radeon(tm) HD Graphics,Q4 2011,33.76,2494,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2297,1213,"6,914 MOps/Sec","5,329 MOps/Sec",10 Million Primes/Sec,"6,343 Thousand Strings/Sec",587.5 MBytes/Sec,"51,805 KBytes/Sec",192 Frames/Sec,"1,254 Million Matrices/Sec","1,213 MOps/Sec",1213.0,1254.0,5329.0,Desktop,,,,,,,
18,AMD A4-3400 APU,AMD A4-3400 APU with Radeon(tm) HD Graphics,FM1,2.7 GHz,,2,2,65 W,"L1: 256 KB, L2: 1.0 MB,",,AMD A4-3400 APU with Radeon(tm) HD Graphics,Q3 2011,13.49,3333,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1078,1077,"3,135 MOps/Sec","2,400 MOps/Sec",5 Million Primes/Sec,"2,941 Thousand Strings/Sec",274.5 MBytes/Sec,"23,577 KBytes/Sec",106 Frames/Sec,567 Million Matrices/Sec,"1,077 MOps/Sec",1077.0,567.0,2400.0,Desktop,,,,,,,
37,AMD A8-3820 APU,AMD A8-3820 APU with Radeon(tm) HD Graphics,FM1,2.5 GHz,2.8 GHz,4,4,65 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A8-3820 APU with Radeon(tm) HD Graphics,Q1 2012,48.18,2570,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2166,1133,"6,513 MOps/Sec","5,063 MOps/Sec",11 Million Primes/Sec,"5,814 Thousand Strings/Sec",559.9 MBytes/Sec,"46,844 KBytes/Sec",204 Frames/Sec,"1,125 Million Matrices/Sec","1,133 MOps/Sec",1133.0,1125.0,5063.0,Desktop,,,,,,,
14,AMD A4-3300M APU,AMD A4-3300M APU with Radeon(tm) HD Graphics,FM1,1.9 GHz,2.5 GHz,2,2,65 W,"L1: 256 KB, L2: 2.0 MB,",,AMD A4-3300M APU with Radeon(tm) HD Graphics,Q3 2011,23.71,3723,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",711,789,"1,992 MOps/Sec","1,595 MOps/Sec",4 Million Primes/Sec,"2,042 Thousand Strings/Sec",186.1 MBytes/Sec,"16,242 KBytes/Sec",92 Frames/Sec,350 Million Matrices/Sec,789 MOps/Sec,789.0,350.0,1595.0,Laptop,,,,,,,
33,AMD A8-3520M APU,AMD A8-3520M APU with Radeon(tm) HD Graphics,FS1,1.6 GHz,2.5 GHz,4,4,35 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A8-3520M APU with Radeon(tm) HD Graphics,Q1 2012,26.33,3025,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1448,845,"3,851 MOps/Sec","3,388 MOps/Sec",9 Million Primes/Sec,"3,998 Thousand Strings/Sec",377.9 MBytes/Sec,"32,027 KBytes/Sec",166 Frames/Sec,735 Million Matrices/Sec,845 MOps/Sec,845.0,735.0,3388.0,Laptop,,,,,,,
31,AMD A8-3500M APU,AMD A8-3500M APU with Radeon(tm) HD Graphics,FS1,1.5 GHz,2.4 GHz,4,4,35 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A8-3500M APU with Radeon(tm) HD Graphics,Q3 2011,23.79,3041,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1426,828,"3,545 MOps/Sec","3,304 MOps/Sec",9 Million Primes/Sec,"4,031 Thousand Strings/Sec",389.4 MBytes/Sec,"32,778 KBytes/Sec",160 Frames/Sec,721 Million Matrices/Sec,828 MOps/Sec,828.0,721.0,3304.0,Laptop,,,,,,,
20,AMD A6-3400M APU,AMD A6-3400M APU with Radeon(tm) HD Graphics,FS1,1.4 GHz,2.3 GHz,4,4,35 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A6-3400M APU with Radeon(tm) HD Graphics,Q2 2011,48.50,3230,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1186,686,"3,173 MOps/Sec","2,791 MOps/Sec",8 Million Primes/Sec,"3,318 Thousand Strings/Sec",303.3 MBytes/Sec,"26,031 KBytes/Sec",144 Frames/Sec,595 Million Matrices/Sec,686 MOps/Sec,686.0,595.0,2791.0,Laptop,,,,,,,
19,AMD A4-3420 APU,AMD A4-3420 APU with Radeon(tm) HD Graphics,FM1,2.8 GHz,,2,2,65 W,"L1: 256 KB, L2: 1.0 MB,",,AMD A4-3420 APU with Radeon(tm) HD Graphics,Q1 2012,7.75,3358,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",1054,1113,"3,078 MOps/Sec","2,343 MOps/Sec",5 Million Primes/Sec,"2,937 Thousand Strings/Sec",267.9 MBytes/Sec,"22,279 KBytes/Sec",109 Frames/Sec,540 Million Matrices/Sec,"1,113 MOps/Sec",1113.0,540.0,2343.0,Desktop,,,,,,,
129,AMD Athlon II X2 220,AMD Athlon(tm) II X2 220 Processor,AM3,2.8 GHz,,2,2,65 W,"L1: 256 KB, L2: 1.0 MB,",,AMD Athlon(tm) II X2 220 Processor,Q2 2010,17.21,3377,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",1032,1098,"3,135 MOps/Sec","2,260 MOps/Sec",5 Million Primes/Sec,"2,982 Thousand Strings/Sec",266.6 MBytes/Sec,"23,174 KBytes/Sec",98 Frames/Sec,516 Million Matrices/Sec,"1,098 MOps/Sec",1098.0,516.0,2260.0,Desktop,,,,,,,
23,AMD A6-3430MX APU,AMD A6-3430MX APU with Radeon(tm) HD Graphics,FS1,1.7 GHz,2.4 GHz,4,4,45 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A6-3430MX APU with Radeon(tm) HD Graphics,Q1 2012,NA,3024,NA,1448,822,"4,220 MOps/Sec","3,872 MOps/Sec",8 Million Primes/Sec,"3,959 Thousand Strings/Sec",404.1 MBytes/Sec,"32,789 KBytes/Sec",143 Frames/Sec,693 Million Matrices/Sec,822 MOps/Sec,822.0,693.0,3872.0,Laptop,,,,,,,
80,AMD Athlon 64 X2 Dual Core 4400+,"AMD Athlon(tm) 64 X2 Dual Core Processor 4400+, Athlon 64 Dual Core 4400+, AMD Athlon(tm) 64 X2 Dual Core 4400+, AMD Athlon(tm) 64 X2 Dual Core CPU 4400+, AMD Athlon(tm)64 X2 Dual Core Processor 4400+",AM2,2.3 GHz,,2,2,65 W,"L1: 256 KB, L2: 1.0 MB,",,"AMD Athlon(tm) 64 X2 Dual Core Processor 4400+, Athlon 64 Dual Core 4400+, AMD Athlon(tm) 64 X2 Dual Core 4400+, AMD Athlon(tm) 64 X2 Dual Core CPU 4400+, AMD Athlon(tm)64 X2 Dual Core Processor 4400+",Q4 2008,2.27,3768,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",678,765,"2,333 MOps/Sec","1,650 MOps/Sec",3 Million Primes/Sec,"2,113 Thousand Strings/Sec",232.5 MBytes/Sec,"16,451 KBytes/Sec",68 Frames/Sec,223 Million Matrices/Sec,765 MOps/Sec,765.0,223.0,1650.0,Desktop,,,,,,,
141,AMD Athlon II X2 260u,AMD Athlon(tm) II X2 260u Processor,AM3,1.8 GHz,,2,2,25 W,"L1: 256 KB, L2: 2.0 MB,",,AMD Athlon(tm) II X2 260u Processor,Q4 2010,8.54,3721,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",713,716,"2,214 MOps/Sec","1,614 MOps/Sec",5 Million Primes/Sec,"2,063 Thousand Strings/Sec",192.1 MBytes/Sec,"16,357 KBytes/Sec",82 Frames/Sec,383 Million Matrices/Sec,716 MOps/Sec,716.0,383.0,1614.0,Desktop,,,,,,,
43,AMD Athlon 64 X2 QL-60,"AMD Athlon Dual-Core QL-60, AMD Athlon(tm) X2 Dual-Core QL-60, AMD Athlon(tm)X2 DualCore QL-60",S1,1.9 GHz,,2,2,35 W,"L1: 256 KB, L2: 1.0 MB,",,"AMD Athlon Dual-Core QL-60, AMD Athlon(tm) X2 Dual-Core QL-60, AMD Athlon(tm)X2 DualCore QL-60",Q1 2009,NA,3920,NA,547,609,"2,398 MOps/Sec","1,421 MOps/Sec",3 Million Primes/Sec,"1,756 Thousand Strings/Sec",164.3 MBytes/Sec,"12,107 KBytes/Sec",50 Frames/Sec,178 Million Matrices/Sec,609 MOps/Sec,609.0,178.0,1421.0,Laptop,,,,,,,
45,AMD Athlon 64 X2 QL-64,"AMD Athlon Dual-Core QL-64, AMD Athlon(tm) X2 Dual-Core QL-64, AMD Athlon(tm)X2 DualCore QL-64",S1,2.1 GHz,,2,2,35 W,"L1: 256 KB, L2: 1.0 MB,",,"AMD Athlon Dual-Core QL-64, AMD Athlon(tm) X2 Dual-Core QL-64, AMD Athlon(tm)X2 DualCore QL-64",Q1 2009,NA,3831,NA,617,722,"2,147 MOps/Sec","1,526 MOps/Sec",3 Million Primes/Sec,"2,053 Thousand Strings/Sec",175.4 MBytes/Sec,"14,863 KBytes/Sec",61 Frames/Sec,212 Million Matrices/Sec,722 MOps/Sec,722.0,212.0,1526.0,Laptop,,,,,,,
2,Intel Core i7-3770K @ 3.50GHz,"Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz, Intel Core i7-3770K CPU @ 3.50GHz",LGA1155,3.5 GHz,3.9 GHz,4,8,77 W,"L1: 256 KB, L2: 1.0 MB,",,"Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz, Intel Core i7-3770K CPU @ 3.50GHz",Q2 2012,61.59,1331,From submitted results to PerformanceTest V10 as of 31st of October 2023.,6467,2070,"23,118 MOps/Sec","11,681 MOps/Sec",30 Million Primes/Sec,"14,333 Thousand Strings/Sec","1,874 MBytes/Sec","105,876 KBytes/Sec",473 Frames/Sec,"4,473 Million Matrices/Sec","2,070 MOps/Sec",2070.0,4473.0,11681.0,Desktop,,,,,,,
15,AMD A4-3305M APU,AMD A4-3305M APU with Radeon(tm) HD Graphics,FS1,1.9 GHz,2.5 GHz,2,2,35 W,"L1: 256 KB, L2: 1.0 MB,",,AMD A4-3305M APU with Radeon(tm) HD Graphics,Q1 2012,35.04,3706,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",729,822,"1,783 MOps/Sec","1,677 MOps/Sec",4 Million Primes/Sec,"2,082 Thousand Strings/Sec",187.6 MBytes/Sec,"16,852 KBytes/Sec",86 Frames/Sec,361 Million Matrices/Sec,822 MOps/Sec,822.0,361.0,1677.0,Laptop,,,,,,,
76,AMD Athlon 64 X2 Dual Core 3600+,AMD Athlon(tm) 64 X2 Dual Core Processor 3600+,AM2,2.0 GHz,,2,2,65 W,"L1: 256 KB, L2: 0.5 MB,",,AMD Athlon(tm) 64 X2 Dual Core Processor 3600+,Q4 2008,8.94,3838,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",610,661,"2,218 MOps/Sec","1,390 MOps/Sec",3 Million Primes/Sec,"1,898 Thousand Strings/Sec",190.1 MBytes/Sec,"13,999 KBytes/Sec",61 Frames/Sec,199 Million Matrices/Sec,661 MOps/Sec,661.0,199.0,1390.0,Desktop,,,,,,,
69,AMD Athlon 64 3400+,"AMD Athlon(tm) 64 Processor 3400+, AMD Athlon 64 Processor 3400+",754,2.4 GHz,,1,1,89 W,"L1: 128 KB, L2: 0.5 MB,",,"AMD Athlon(tm) 64 Processor 3400+, AMD Athlon 64 Processor 3400+",Q1 2009,3.17,4168,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",317,547,664 MOps/Sec,781 MOps/Sec,NA,876 Thousand Strings/Sec,120.2 MBytes/Sec,"7,343 KBytes/Sec",36 Frames/Sec,68 Million Matrices/Sec,547 MOps/Sec,547.0,68.0,781.0,"AMD Athlon(tm) 64 Processor 3400+, AMD Athlon 64 Processor 3400+",,,,,,,
40,AMD A8-4500M APU,AMD A8-4500M APU with Radeon(tm) HD Graphics,FS1r2,1.9 GHz,2.8 GHz,4 (in 2 physical modules),,35 W,"L1: 320 KB, L2: 8.0 MB,",,AMD A8-4500M APU with Radeon(tm) HD Graphics,Q2 2012,29.84,2859,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1677,918,"11,038 MOps/Sec","3,006 MOps/Sec",9 Million Primes/Sec,"3,458 Thousand Strings/Sec",493.2 MBytes/Sec,"26,925 KBytes/Sec",193 Frames/Sec,676 Million Matrices/Sec,918 MOps/Sec,918.0,676.0,3006.0,Laptop,,,,,,,
78,AMD Athlon 64 X2 Dual Core 4000+,AMD Athlon(tm) 64 X2 Dual Core Processor 4000+,AM2,2.1 GHz,,2,2,65 W,"L1: 256 KB, L2: 1.0 MB,",,AMD Athlon(tm) 64 X2 Dual Core Processor 4000+,Q4 2008,NA,3790,NA,662,726,"2,556 MOps/Sec","1,481 MOps/Sec",3 Million Primes/Sec,"2,080 Thousand Strings/Sec",196.3 MBytes/Sec,"15,369 KBytes/Sec",62 Frames/Sec,229 Million Matrices/Sec,726 MOps/Sec,726.0,229.0,1481.0,Desktop,,,,,,,
110,AMD Athlon Dual Core 5400B,AMD Athlon(tm) Dual Core Processor 5400B,AM2,2.8 GHz,,2,2,65 W,"L1: 256 KB, L2: 1.0 MB,",,AMD Athlon(tm) Dual Core Processor 5400B,Q2 2009,NA,3440,NA,977,999,"3,732 MOps/Sec","2,278 MOps/Sec",5 Million Primes/Sec,"2,429 Thousand Strings/Sec",329.5 MBytes/Sec,"22,260 KBytes/Sec",97 Frames/Sec,391 Million Matrices/Sec,999 MOps/Sec,999.0,391.0,2278.0,Desktop,,,,,,,
46,AMD Athlon 64 X2 QL-65,"AMD Athlon Dual-Core QL-65, AMD Athlon(tm) X2 Dual-Core QL-65",S1,2.1 GHz,,2,2,35 W,"L1: 256 KB, L2: 1.0 MB,",,"AMD Athlon Dual-Core QL-65, AMD Athlon(tm) X2 Dual-Core QL-65",Q4 2009,28.28,3825,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",622,679,"1,922 MOps/Sec","1,632 MOps/Sec",2 Million Primes/Sec,"2,051 Thousand Strings/Sec",221.4 MBytes/Sec,"15,428 KBytes/Sec",69 Frames/Sec,194 Million Matrices/Sec,679 MOps/Sec,679.0,194.0,1632.0,Laptop,,,,,,,
17,AMD A4-3320M APU,AMD A4-3320M APU with Radeon(tm) HD Graphics,FS1,2.0 GHz,2.6 GHz,2,2,35 W,"L1: 256 KB, L2: 2.0 MB,",,AMD A4-3320M APU with Radeon(tm) HD Graphics,Q1 2012,17.12,3784,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",668,708,"1,553 MOps/Sec","1,477 MOps/Sec",3 Million Primes/Sec,"1,705 Thousand Strings/Sec",163.8 MBytes/Sec,"12,970 KBytes/Sec",80 Frames/Sec,282 Million Matrices/Sec,708 MOps/Sec,708.0,282.0,1477.0,Laptop,,,,,,,
181,AMD Athlon Neo X2 Dual Core L325,AMD Athlon(tm) Neo X2 Dual Core Processor L325,AMD Athlon(tm) Neo X2 Dual Core Processor L325,1.5 GHz,,2,2,18 W,"L1: 256 KB, L2: 1.0 MB,",,AMD Athlon(tm) Neo X2 Dual Core Processor L325,Q1 2010,NA,3909,NA,556,567,"1,979 MOps/Sec","1,274 MOps/Sec",3 Million Primes/Sec,"1,513 Thousand Strings/Sec",177.3 MBytes/Sec,"12,031 KBytes/Sec",53 Frames/Sec,208 Million Matrices/Sec,567 MOps/Sec,567.0,208.0,1274.0,AMD Athlon(tm) Neo X2 Dual Core Processor L325,,,,,,,
191,AMD Athlon TF-20,AMD Athlon(tm) Processor TF-20,AMD Athlon(tm) Processor TF-20,1.6 GHz,,1,1,15 W,"L1: 128 KB, L2: 0.5 MB,",,AMD Athlon(tm) Processor TF-20,Q2 2009,NA,4244,NA,265,454,788 MOps/Sec,542 MOps/Sec,2 Million Primes/Sec,774 Thousand Strings/Sec,89.2 MBytes/Sec,"6,194 KBytes/Sec",32 Frames/Sec,82 Million Matrices/Sec,454 MOps/Sec,454.0,82.0,542.0,AMD Athlon(tm) Processor TF-20,,,,,,,
148,AMD Athlon II X2 B22,AMD Athlon(tm) II X2 B22 Processor,AM3,2.8 GHz,,2,2,65 W,"L1: 256 KB, L2: 2.0 MB,",,AMD Athlon(tm) II X2 B22 Processor,Q1 2010,40.57,3360,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",1053,1129,"3,132 MOps/Sec","2,415 MOps/Sec",5 Million Primes/Sec,"2,946 Thousand Strings/Sec",271.2 MBytes/Sec,"24,440 KBytes/Sec",99 Frames/Sec,534 Million Matrices/Sec,"1,129 MOps/Sec",1129.0,534.0,2415.0,Desktop,,,,,,,
79,AMD Athlon 64 X2 Dual Core 4200+,"AMD Athlon(tm) 64 X2 Dual Core Processor 4200+, AMD Athlon(tm)64 X2 Dual Core Processor 4200+, AMD Athlon(tm) 64 X2 Dual Core 4200+, AMD Athlon(tm) 64 X2 Dual Core CPU 4200+",AM2,2.2 GHz,,2,2,89 W,"L1: 256 KB, L2: 1.0 MB,",,"AMD Athlon(tm) 64 X2 Dual Core Processor 4200+, AMD Athlon(tm)64 X2 Dual Core Processor 4200+, AMD Athlon(tm) 64 X2 Dual Core 4200+, AMD Athlon(tm) 64 X2 Dual Core CPU 4200+",Q4 2008,6.27,3754,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",689,782,"2,615 MOps/Sec","1,567 MOps/Sec",3 Million Primes/Sec,"2,290 Thousand Strings/Sec",209.5 MBytes/Sec,"16,837 KBytes/Sec",65 Frames/Sec,229 Million Matrices/Sec,782 MOps/Sec,782.0,229.0,1567.0,Desktop,,,,,,,
96,AMD Athlon 64 X2 Dual-Core TK-57,"AMD Athlon(tm) 64 X2 Dual-Core Processor TK-57, AMD Athlon(tm) 64 X2 Dual Core Processor TK-57, AMD Athlon(tm) 64 X2 TK-57","AMD Athlon(tm) 64 X2 Dual-Core Processor TK-57, AMD Athlon(tm) 64 X2 Dual Core Processor TK-57, AMD Athlon(tm) 64 X2 TK-57",1.9 GHz,,2,2,31 W,"L1: 256 KB, L2: 0.5 MB,",,"AMD Athlon(tm) 64 X2 Dual-Core Processor TK-57, AMD Athlon(tm) 64 X2 Dual Core Processor TK-57, AMD Athlon(tm) 64 X2 TK-57",Q1 2009,NA,3827,NA,620,626,"2,460 MOps/Sec","1,390 MOps/Sec",3 Million Primes/Sec,"1,912 Thousand Strings/Sec",175.8 MBytes/Sec,"14,048 KBytes/Sec",59 Frames/Sec,212 Million Matrices/Sec,626 MOps/Sec,626.0,212.0,1390.0,"AMD Athlon(tm) 64 X2 Dual-Core Processor TK-57, AMD Athlon(tm) 64 X2 Dual Core Processor TK-57, AMD Athlon(tm) 64 X2 TK-57",,,,,,,
36,AMD A8-3800 APU,AMD A8-3800 APU with Radeon(tm) HD Graphics,FM1,2.4 GHz,2.7 GHz,4,4,65 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A8-3800 APU with Radeon(tm) HD Graphics,Q3 2011,18.15,2656,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1996,1073,"6,755 MOps/Sec","4,661 MOps/Sec",9 Million Primes/Sec,"5,534 Thousand Strings/Sec",492.4 MBytes/Sec,"44,186 KBytes/Sec",182 Frames/Sec,"1,081 Million Matrices/Sec","1,073 MOps/Sec",1073.0,1081.0,4661.0,Desktop,,,,,,,
3,Intel Core i5-450M @ 2.40GHz,"Intel(R) Core(TM) i5 CPU M 450 @ 2.40GHz, Intel(R) Core(TM) i5 CPU       M 450  @ 2.40GHz, Intel Core i5 CPU       M 450  @ 2.40GHz",PGA988A,2.4 GHz,2.7 GHz,2,4,35 W,"L1: 256 KB, L2: 1.0 MB, L3: 3 MB",,"Intel(R) Core(TM) i5 CPU M 450 @ 2.40GHz, Intel(R) Core(TM) i5 CPU       M 450  @ 2.40GHz, Intel Core i5 CPU       M 450  @ 2.40GHz",Q2 2010,38.70,3183,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1237,1046,"6,476 MOps/Sec","2,891 MOps/Sec",8 Million Primes/Sec,"3,659 Thousand Strings/Sec",227.9 MBytes/Sec,"26,866 KBytes/Sec",156 Frames/Sec,717 Million Matrices/Sec,"1,046 MOps/Sec",1046.0,717.0,2891.0,Laptop,,,,,,,
160,AMD Athlon II X3 455,AMD Athlon(tm) II X3 455 Processor,AM3,3.3 GHz,,3,3,95 W,"L1: 384 KB, L2: 1.5 MB,",,AMD Athlon(tm) II X3 455 Processor,Q4 2010,71.79,2753,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1849,1343,"5,752 MOps/Sec","4,231 MOps/Sec",7 Million Primes/Sec,"5,470 Thousand Strings/Sec",495.1 MBytes/Sec,"43,201 KBytes/Sec",146 Frames/Sec,948 Million Matrices/Sec,"1,343 MOps/Sec",1343.0,948.0,4231.0,Desktop,,,,,,,
95,AMD Athlon 64 X2 Dual-Core TK-55,"AMD Athlon(tm) 64 X2 Dual-Core Processor TK-55, AMD Athlon(tm) 64 X2 TK-55, AMD Athlon(tm) 64 X2 Dual Core Processor TK-55","AMD Athlon(tm) 64 X2 Dual-Core Processor TK-55, AMD Athlon(tm) 64 X2 TK-55, AMD Athlon(tm) 64 X2 Dual Core Processor TK-55",1.8 GHz,,2,2,35 W,"L1: 256 KB, L2: 0.5 MB,",,"AMD Athlon(tm) 64 X2 Dual-Core Processor TK-55, AMD Athlon(tm) 64 X2 TK-55, AMD Athlon(tm) 64 X2 Dual Core Processor TK-55",Q4 2008,7.13,3945,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",518,609,"2,000 MOps/Sec","1,301 MOps/Sec",2 Million Primes/Sec,"1,664 Thousand Strings/Sec",161.7 MBytes/Sec,"11,035 KBytes/Sec",55 Frames/Sec,182 Million Matrices/Sec,609 MOps/Sec,609.0,182.0,1301.0,"AMD Athlon(tm) 64 X2 Dual-Core Processor TK-55, AMD Athlon(tm) 64 X2 TK-55, AMD Athlon(tm) 64 X2 Dual Core Processor TK-55",,,,,,,
106,AMD Athlon Dual Core 4850e,AMD Athlon(tm) Dual Core Processor 4850e,AM2,2.5 GHz,,2,2,45 W,"L1: 256 KB, L2: 1.0 MB,",,AMD Athlon(tm) Dual Core Processor 4850e,Q1 2009,20.06,3640,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",783,903,"3,185 MOps/Sec","1,737 MOps/Sec",3 Million Primes/Sec,"2,658 Thousand Strings/Sec",272.2 MBytes/Sec,"17,615 KBytes/Sec",68 Frames/Sec,249 Million Matrices/Sec,903 MOps/Sec,903.0,249.0,1737.0,Desktop,,,,,,,
