No.,cpuname,Description:,Socket:,Clockspeed:,Turbo Speed:,Cores:,Threads:,Typical TDP:,Cache Size:,Memory Support:,Other names:,CPU First Seen on Charts:,CPUmark/$Price:,Overall Rank:,Last Price Change:,PassMark CPU Rating:,Single Thread Rating:,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread,single_thread,multi_thread,FLOPS,Class:,TDP Down:,TDP Up,Total Cores:,Primary Cores:,Secondary Cores:,Performance Cores:,Efficient Cores:
3500,AMD Ryzen 5 PRO 3500U,w/ Radeon Vega Mobile Gfx,FP5,2.1 GHz,3.7 GHz,4,8,15 W,"L1: 384 KB, L2: 2.0 MB, L3: 4 MB",,AMD Ryzen 5 PRO 3500U w/ Radeon Vega Mobile Gfx,Q3 2019,NA,1250,NA,6982,1938,"24,916 MOps/Sec","12,514 MOps/Sec",16 Million Primes/Sec,"11,290 Thousand Strings/Sec","6,153 MBytes/Sec","93,575 KBytes/Sec",386 Frames/Sec,"3,567 Million Matrices/Sec","1,938 MOps/Sec",1938.0,3567.0,12514.0,Laptop,12 W,: 35 W,,,,,
3520,AMD Ryzen 3 3300U,with Radeon Vega Mobile Gfx,FP5,2.1 GHz,3.5 GHz,4,4,15 W,"L1: 384 KB, L2: 2.0 MB, L3: 4 MB",,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx,Q3 2019,NA,1470,NA,5710,1872,"17,302 MOps/Sec","11,217 MOps/Sec",18 Million Primes/Sec,"8,593 Thousand Strings/Sec","3,705 MBytes/Sec","69,160 KBytes/Sec",310 Frames/Sec,"3,604 Million Matrices/Sec","1,872 MOps/Sec",1872.0,3604.0,11217.0,Laptop,12 W,: 35 W,,,,,
3454,Intel Core i5-9500T @ 2.20GHz,Intel UHD Graphics 630,FCLGA1151-2,2.2 GHz,3.7 GHz,6,6,35 W,"L1: 256 KB, L2: 1.0 MB, L3: 9 MB",Max. Memory Size: 128 GB (DDR4-2666),"Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz, Intel Core i5-9500T CPU @ 2.20GHz",Q2 2019,42.41,1102,From submitted results to PerformanceTest V10 as of 31st of October 2023.,8143,2167,"22,787 MOps/Sec","19,591 MOps/Sec",33 Million Primes/Sec,"14,315 Thousand Strings/Sec","2,553 MBytes/Sec","112,608 KBytes/Sec",551 Frames/Sec,"9,072 Million Matrices/Sec","2,167 MOps/Sec",2167.0,9072.0,19591.0,Desktop,25 W,,,,,,
3507,Intel Xeon Silver 4208 @ 2.10GHz,"Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz, Intel Xeon Silver 4208 CPU @ 2.10GHz",FCLGA3647,2.1 GHz,3.2 GHz,8,16,85 W,"L1: 256 KB, L2: 4.0 MB, L3: 11 MB",,"Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz, Intel Xeon Silver 4208 CPU @ 2.10GHz",Q3 2019,57.55,862,From submitted results to PerformanceTest V10 as of 31st of October 2023.,11390,1797,"36,242 MOps/Sec","23,337 MOps/Sec",54 Million Primes/Sec,"20,877 Thousand Strings/Sec","3,981 MBytes/Sec","162,636 KBytes/Sec",913 Frames/Sec,"9,639 Million Matrices/Sec","1,797 MOps/Sec",1797.0,9639.0,23337.0,Server,,,,,,,
3512,Intel Xeon E-2224 @ 3.40GHz,"Intel(R) Xeon(R) E-2224 CPU @ 3.40GHz, Intel Xeon E-2224 CPU @ 3.40GHz",FCLGA1151-2,3.4 GHz,4.6 GHz,4,4,71 W,"L1: 256 KB, L2: 1.0 MB, L3: 8 MB","Max. Memory Size: 128 GB (DDR4-2666, ECC Supported)","Intel(R) Xeon(R) E-2224 CPU @ 3.40GHz, Intel Xeon E-2224 CPU @ 3.40GHz",Q3 2019,29.01,1202,From submitted results to PerformanceTest V10 as of 31st of October 2023.,7285,2523,"19,163 MOps/Sec","16,544 MOps/Sec",39 Million Primes/Sec,"12,483 Thousand Strings/Sec","2,134 MBytes/Sec","92,950 KBytes/Sec",582 Frames/Sec,"8,229 Million Matrices/Sec","2,523 MOps/Sec",2523.0,8229.0,16544.0,Server,,,,,,,
3495,AMD Ryzen 5 PRO 3600,AMD Ryzen 5 PRO 3600 6-Core Processor,AM4,3.6 GHz,,6,12,65 W,"L1: 384 KB, L2: 3.0 MB, L3: 32 MB",,AMD Ryzen 5 PRO 3600 6-Core Processor,Q3 2019,NA,575,NA,17725,2587,"49,179 MOps/Sec","28,867 MOps/Sec",101 Million Primes/Sec,"24,206 Thousand Strings/Sec","14,159 MBytes/Sec","217,831 KBytes/Sec","1,040 Frames/Sec","14,405 Million Matrices/Sec","2,587 MOps/Sec",2587.0,14405.0,28867.0,Desktop,,,,,,,
3487,Intel Core i9-9900 @ 3.10GHz,Intel UHD Graphics 630,FCLGA1151-2,3.1 GHz,5.0 GHz,8,16,65 W,"L1: 256 KB, L2: 1.0 MB, L3: 16 MB",Max. Memory Size: 128 GB (DDR4-2666),"Intel(R) Core(TM) i9-9900 CPU @ 3.10GHz, Intel Core i9-9900 CPU @ 3.10GHz",Q3 2019,33.34,618,From submitted results to PerformanceTest V10 as of 31st of October 2023.,16635,2843,"62,232 MOps/Sec","38,592 MOps/Sec",44 Million Primes/Sec,"32,414 Thousand Strings/Sec","5,989 MBytes/Sec","244,019 KBytes/Sec",871 Frames/Sec,"15,746 Million Matrices/Sec","2,843 MOps/Sec",2843.0,15746.0,38592.0,Desktop,,,,,,,
3499,AMD Ryzen 7 3800X,AMD Ryzen 7 3800X 8-Core Processor,AM4,3.9 GHz,4.5 GHz,8,16,105 W,"L1: 512 KB, L2: 4.0 MB, L3: 32 MB",,AMD Ryzen 7 3800X 8-Core Processor,Q3 2019,140.82,372,From submitted results to PerformanceTest V10 as of 31st of October 2023.,23217,2721,"68,102 MOps/Sec","39,875 MOps/Sec",108 Million Primes/Sec,"33,254 Thousand Strings/Sec","19,448 MBytes/Sec","305,445 KBytes/Sec","1,238 Frames/Sec","20,071 Million Matrices/Sec","2,721 MOps/Sec",2721.0,20071.0,39875.0,Desktop,,,,,,,
3524,Intel Xeon Silver 4210 @ 2.20GHz,"Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz, Intel Xeon Silver 4210 CPU @ 2.20GHz",FCLGA3647,2.2 GHz,3.2 GHz,10,20,85 W,"L1: 512 KB, L2: 8.0 MB, L3: 14 MB",,"Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz, Intel Xeon Silver 4210 CPU @ 2.20GHz",Q3 2019,54.83,753,From submitted results to PerformanceTest V10 as of 31st of October 2023.,13706,1772,"47,407 MOps/Sec","29,711 MOps/Sec",56 Million Primes/Sec,"26,700 Thousand Strings/Sec","4,852 MBytes/Sec","208,353 KBytes/Sec",877 Frames/Sec,"12,794 Million Matrices/Sec","1,772 MOps/Sec",1772.0,12794.0,29711.0,Server,,,,,,,
3402,Intel Core i5-8210Y @ 1.60GHz,Intel UHD Graphics 617,FCBGA1515,1.6 GHz,3.6 GHz,2,4,7 W,"L1: 256 KB, L2: 1.0 MB, L3: 4 MB","Max. Memory Size: 16 GB (LPDDR3-2133, DDR3L-1600)",Intel(R) Core(TM) i5-8210Y CPU @ 1.60GHz,Q1 2019,NA,2240,NA,2814,1707,"9,597 MOps/Sec","5,254 MOps/Sec",11 Million Primes/Sec,"4,549 Thousand Strings/Sec","1,038 MBytes/Sec","39,273 KBytes/Sec",277 Frames/Sec,"1,670 Million Matrices/Sec","1,707 MOps/Sec",1707.0,1670.0,5254.0,Laptop,,,,,,,
