cpu_No,gpu_No,single_thread,multi_thread,FLOPS,single_thread/price,multi_thread/price,FLOPS/price,price,store
2152,0,1632.0,8802.0,22830.0,2.130548302872062,11.490861618798956,29.804177545691907,766.0,金和田品胜专卖店。
2643,0,1652.0,15964.0,29779.0,1.4059574468085103,13.586382978723403,25.343829787234043,1175.0,金和田品胜专卖店。
2870,0,1819.0,22226.0,55440.0,0.928534966819806,11.34558448187851,28.300153139356816,1959.0,金和田品胜专卖店。
2184,0,1529.0,8068.0,20790.0,1.9934810951760105,10.518904823989567,27.10560625814863,767.0,国立科技电脑店。
2606,0,1738.0,15237.0,30198.0,0.9959885386819484,8.731805157593124,17.305444126074498,1745.0,国立科技电脑店。
4681,0,3529.0,15875.0,47060.0,0.9607949904710046,4.3220800435611215,12.812414919684182,3673.0,攀升官方旗舰店。
1447,0,1351.0,557.0,2450.0,5.605809128630705,2.3112033195020745,10.16597510373444,241.0,攀升官方旗舰店。
4748,0,937.0,955.0,4051.0,2.677142857142857,2.7285714285714286,11.574285714285717,350.0,垃圾
4994,0,3705.0,20056.0,61575.0,1.637207247017234,8.862571807335396,27.20945647370747,2263.0,攀升
765,0,1794.0,2011.0,5286.0,3.934210526315789,4.410087719298246,11.592105263157896,456.0,徽派数码工厂店
825,0,1996.0,3623.0,11177.0,3.5202821869488536,6.389770723104056,19.71252204585538,567.0,徽派数码工厂店
2234,0,2086.0,6156.0,12118.0,3.488294314381271,10.294314381270905,20.264214046822744,598.0,徽派数码工厂店
2226,0,2233.0,6822.0,13128.0,2.877577319587629,8.791237113402062,16.917525773195877,776.0,徽派数码工厂店
2152,0,1632.0,8802.0,22830.0,2.435820895522388,13.13731343283582,34.07462686567164,670.0,徽派数码工厂店
2061,0,1788.0,9521.0,24632.0,2.393574297188755,12.745649263721551,32.97456492637215,747.0,徽派数码工厂店
793,0,1581.0,3030.0,6978.0,2.265042979942693,4.340974212034384,9.997134670487108,698.0,徽派数码工厂店
1220,0,1476.0,6788.0,13348.0,2.5625,11.78472222222222,23.17361111111111,576.0,徽派数码工厂店
2152,0,1632.0,8802.0,22830.0,2.5224111282843893,13.604327666151468,35.28593508500773,647.0,徽派数码工厂店1
2061,0,1788.0,9521.0,24632.0,1.3764434180138567,7.329484218629715,18.962278675904543,1299.0,徽派数码工厂店1
1221,0,1562.0,7077.0,13909.0,2.4992,11.3232,22.2544,625.0,徽派数码工厂店2
2606,0,1738.0,15237.0,30198.0,1.9977011494252876,17.513793103448275,34.710344827586205,870.0,徽派数码工厂店2
2039,0,1698.0,11210.0,29257.0,2.8682432432432434,18.93581081081081,49.420608108108105,592.0,芯芯科技数码
1896,0,2036.0,5967.0,11733.0,4.97799511002445,14.58924205378973,28.68704156479217,409.0,芯芯科技数码
2184,0,1529.0,8068.0,20790.0,2.251840942562592,11.88217967599411,30.61855670103093,679.0,简E智能家具
803,0,1706.0,3234.0,7435.0,4.042654028436019,7.6635071090047395,17.618483412322274,422.0,恬园时代
2042,0,1686.0,7348.0,19111.0,3.351888667992048,14.60834990059642,37.99403578528827,503.0,恬园时代
755,0,1562.0,1881.0,3767.0,6.732758620689655,8.107758620689655,16.237068965517242,232.0,超玩电脑商行
793,0,1581.0,3030.0,6978.0,4.894736842105263,9.380804953560371,21.60371517027864,323.0,超玩电脑商行
2042,0,1686.0,7348.0,19111.0,3.4198782961460448,14.904665314401624,38.76470588235294,493.0,超玩电脑商行
2152,0,1632.0,8802.0,22830.0,1.9177438307873087,10.343125734430082,26.82726204465335,851.0,超玩电脑商行
2184,0,1529.0,8068.0,20790.0,2.55685618729097,13.491638795986622,34.76588628762542,598.0,超玩电脑商行
2042,0,1686.0,7348.0,19111.0,3.4129554655870447,14.874493927125506,38.68623481781376,494.0,超玩电脑商行1
2152,0,1632.0,8802.0,22830.0,1.929078014184397,10.404255319148936,26.98581560283688,846.0,超玩电脑商行1
2061,0,1788.0,9521.0,24632.0,1.5588491717523976,8.300784655623366,21.475152571926767,1147.0,超玩电脑商行1
2606,0,1738.0,15237.0,30198.0,1.9036144578313248,16.68893756845564,33.07557502738226,913.0,超玩电脑商行1
1221,0,1562.0,7077.0,13909.0,2.774422735346359,12.570159857904086,24.70515097690941,563.0,铎铎电脑
2061,0,1788.0,9521.0,24632.0,1.5697980684811237,8.35908691834943,21.62598770851624,1139.0,铎铎电脑
1447,0,1351.0,557.0,2450.0,6.622549019607843,2.730392156862745,12.009803921568627,204.0,铎铎电脑
793,0,1581.0,3030.0,6978.0,4.272972972972973,8.18918918918919,18.85945945945946,370.0,铎铎电脑1
2234,0,2086.0,6156.0,12118.0,4.11439842209073,12.142011834319527,23.90138067061144,507.0,铎铎电脑1
822,0,1941.0,3547.0,10920.0,4.332589285714286,7.917410714285714,24.375,448.0,铎铎电脑1
